image_path,p1_bb_xmin,p1_bb_ymin,p1_cp_bb_x,p1_cp_bb_y,p1_nose_x,p1_nose_y,p1_left_eye_x,p1_left_eye_y,p1_right_eye_x,p1_right_eye_y,p1_left_ear_x,p1_left_ear_y,p1_right_ear_x,p1_right_ear_y,p1_left_shoulder_x,p1_left_shoulder_y,p1_right_shoulder_x,p1_right_shoulder_y,p1_left_elbow_x,p1_left_elbow_y,p1_right_elbow_x,p1_right_elbow_y,p1_left_wrist_x,p1_left_wrist_y,p1_right_wrist_x,p1_right_wrist_y,p1_left_hip_x,p1_left_hip_y,p1_right_hip_x,p1_right_hip_y,p1_left_knee_x,p1_left_knee_y,p1_right_knee_x,p1_right_knee_y,p1_left_ankle_x,p1_left_ankle_y,p1_right_ankle_x,p1_right_ankle_y,p2_bb_xmin,p2_bb_ymin,p2_cp_bb_x,p2_cp_bb_y,p2_nose_x,p2_nose_y,p2_left_eye_x,p2_left_eye_y,p2_right_eye_x,p2_right_eye_y,p2_left_ear_x,p2_left_ear_y,p2_right_ear_x,p2_right_ear_y,p2_left_shoulder_x,p2_left_shoulder_y,p2_right_shoulder_x,p2_right_shoulder_y,p2_left_elbow_x,p2_left_elbow_y,p2_right_elbow_x,p2_right_elbow_y,p2_left_wrist_x,p2_left_wrist_y,p2_right_wrist_x,p2_right_wrist_y,p2_left_hip_x,p2_left_hip_y,p2_right_hip_x,p2_right_hip_y,p2_left_knee_x,p2_left_knee_y,p2_right_knee_x,p2_right_knee_y,p2_left_ankle_x,p2_left_ankle_y,p2_right_ankle_x,p2_right_ankle_y
0.jpg,393,725,510.4825287,845.1813049,517.87785,763.813065,509.42436,757.47293,517.87785,759.58632,500.97087,759.58632,515.76448,761.69969,490.40399,784.946808,526.33136,787.06018,490.40399,808.193924,534.78487,825.10092,519.99123,818.7608,522.10461,818.7608,492.51738,846.23465,517.87785,846.23465,473.496994,882.16202,545.35173,882.16202,450.249878,911.74927,549.57848,932.883,942,119,1069.480438,236.2467346,1082.5903,179.428726,1085.08804,180.67758,1083.83917,178.17987,1086.33688,186.921875,1081.34146,178.17987,1077.59488,196.91275,1068.85287,188.17073,1071.35059,216.89447,1062.608574,180.67758,1053.86657,214.39676,1050.11999,214.39676,1058.86201,225.63649,1050.11999,221.88992,1056.36428,254.36023,1047.62228,253.11137,1061.35972,281.83511,1050.11999,276.83969
1.jpg,393,725,511.5448456,844.8353195,512.59855,761.69432,506.284325,759.58957,518.91277,759.58957,499.970085,759.58957,516.80804,759.58957,489.44637,784.84651,527.33176,786.95125,489.44637,810.10344,535.75073,824.83664,518.91277,818.522415,523.12228,818.522415,493.655846,845.88408,518.91277,845.88408,472.608406,881.66472,546.27444,883.76949,449.45623,915.34062,550.48395,934.28334,942,119,1068.169891,235.9913864,1082.28662,180.1418,1084.74152,180.1418,1083.51407,178.914352,1085.96896,186.27902,1081.05917,178.914352,1077.37686,197.326035,1068.78472,188.73392,1071.23962,216.96518,1061.42005,182.596695,1054.05538,214.510284,1063.87495,180.1418,1057.73771,225.5573,1049.14559,220.64751,1056.51028,253.78856,1047.918144,252.56111,1061.42005,283.24725,1049.14559,278.33746
2.jpg,391,725,511.688942,844.5874786,519.07837,761.218567,510.63691,754.887466,519.07837,756.997833,502.19544,759.1082,516.96801,756.997833,491.64359,782.32225,527.51984,784.432632,491.64359,807.64668,535.96133,822.419266,519.07837,818.19852,523.2991,816.08815,495.86433,841.41257,519.07837,843.522934,476.87101,879.39919,546.51315,879.39919,451.546593,911.05473,552.84427,930.04805,942,116,1064.430412,235.6093445,1081.48917,180.64699,1085.27997,180.64699,1084.01636,179.383392,1086.54355,186.964966,1082.75278,181.91058,1077.69836,197.07373,1068.8532,185.70137,1071.3804,218.554886,1063.79882,174.32901,1056.21723,216.02768,1068.8532,171.801804,1060.00802,224.87286,1049.899254,218.554886,1058.74444,251.40839,1048.63566,250.14479,1060.00802,279.20752,1047.37206,275.41672
3.jpg,392,723,510.552475,847.4135513,518.036224,758.735916,509.48833,754.461975,518.036224,754.461975,503.07739,756.598938,518.036224,756.598938,492.39252,780.105682,528.7211,782.242645,490.25554,803.6124,537.269,820.708206,520.1732,816.43425,524.44716,818.57123,496.66646,839.94098,522.31017,842.07796,479.57066,876.26956,550.09084,876.26956,453.926956,910.46118,554.36482,923.28302,944,105,1064.716751,220.4828949,1081.7575,179.74637,1084.72086,179.74637,1083.2392,178.264694,1086.20255,187.15477,1083.2392,181.22806,1078.79416,199.00821,1069.90406,182.70973,1071.385735,218.27005,1062.49566,167.892944,1055.08727,213.82501,1065.45902,151.594467,1061.013985,222.71509,1050.642235,216.78836,1058.05062,249.38531,1047.67887,246.42195,1059.53231,279.01889,1044.71551,274.57385
4.jpg,394,721,513.1471405,843.8599319,514.2123,755.64064,509.96107,753.51503,520.589134,753.51503,503.584236,755.64064,520.589134,755.64064,492.956184,781.147964,531.2172,781.147964,492.956184,802.4041,537.59402,819.40898,518.463524,813.03215,526.96597,815.15776,499.333015,838.53949,522.71475,838.53949,482.32813,874.67488,550.34769,872.54927,458.9464,906.55907,556.72452,919.31273,942,87,1063.804703,223.1708984,1082.16385,180.33464,1084.8841,180.33464,1084.8841,178.97453,1086.2442,187.13522,1083.52396,178.97453,1079.4436,200.736404,1069.9228,181.69476,1072.64304,217.05782,1060.40197,164.013245,1064.48234,217.05782,1061.08204,136.13083,1061.76209,223.8584,1050.88116,217.05782,1059.04186,248.34052,1045.44068,246.98041,1057.68174,278.26309,1041.36033,272.82263
5.jpg,397,717,513.6402435,842.5757294,514.67983,756.693085,510.540764,752.554,518.81893,752.554,504.33213,754.623535,520.888466,754.623535,496.05395,779.458054,533.30573,781.5276,493.98441,804.29256,539.51434,818.77936,518.81893,812.570724,529.16666,814.640274,500.19305,837.40524,525.02756,839.47479,483.63671,874.657,554.00116,872.58748,462.94128,903.63063,558.14026,920.18697,942,103,1062.528687,227.2079086,1082.56015,180.02662,1085.14542,181.31925,1083.85278,178.733986,1085.14542,187.78245,1082.56015,178.733986,1079.97488,199.41616,1069.63378,181.31925,1072.21906,217.51307,1063.170616,169.68554,1064.46325,212.34252,1069.63378,170.97817,1063.170616,222.6836,1051.53689,216.220436,1059.2927,247.24368,1045.07371,243.36578,1056.707436,276.9743,1038.61053,270.51114
6.jpg,401,716,520.6856842,842.570694,515.61509,754.43979,513.58926,750.388123,517.64092,750.388123,505.48591,754.43979,523.71842,754.43979,495.35676,780.775635,533.8476,780.775635,497.382576,805.08565,541.95093,819.266495,523.71842,813.18898,529.79593,815.21483,501.43424,837.49901,525.74427,837.49901,487.25341,869.91234,554.10596,871.93819,464.96923,902.3257,562.20929,918.53236,941,85,1060.280136,226.8482361,1080.2733,181.06791,1082.85306,181.06791,1081.56319,178.48815,1085.4328,187.51728,1080.2733,178.48815,1080.2733,197.836266,1068.664444,181.06791,1072.53407,214.60461,1059.63533,168.16917,1064.794815,212.02488,1058.34544,148.821053,1066.0847,221.05399,1053.18596,214.60461,1060.925186,245.56158,1044.15683,240.4021,1057.05557,275.2287,1036.41759,268.77933
7.jpg,402,716,519.9935608,842.6597824,516.95721,756.806885,512.91689,750.746384,516.95721,750.746384,506.85639,754.786713,523.01769,754.786713,496.75558,779.02867,535.1387,781.04884,496.75558,805.29082,541.19919,819.43196,523.01769,813.371475,529.07819,815.39163,500.79589,837.613434,525.037865,837.613434,486.65475,871.95622,555.34033,871.95622,464.432945,904.27882,561.40085,918.41997,941,84,1059.644806,230.0823822,1080.03647,181.25974,1083.74435,181.25974,1082.50839,178.78782,1084.98032,186.20359,1080.03647,178.78782,1080.03647,198.563225,1067.67682,181.25974,1072.62068,214.63074,1060.26105,167.66415,1063.96893,210.92286,1057.17114,150.978645,1066.44086,219.57462,1052.845276,214.63074,1060.26105,245.52982,1044.19353,240.58597,1056.55316,275.19293,1036.77774,269.01312
8.jpg,408,715,526.407135,837.2070847,517.58117,755.85701,515.62115,751.936966,521.50121,751.936966,507.78106,753.896988,523.461235,753.896988,497.98095,779.37727,535.22137,781.337296,497.98095,804.85756,543.06146,818.57771,519.54119,810.737625,531.30132,816.61769,501.90099,838.17793,527.38128,838.17793,490.14086,869.53827,556.78162,869.53827,466.620598,902.85864,566.5817,920.49884,940,85,1059.916367,221.1292419,1077.61496,179.365135,1081.86331,180.78124,1079.0311,177.94901,1083.27945,186.44572,1079.0311,177.94901,1080.4472,197.77465,1069.11829,182.197365,1070.5344,214.76807,1059.20545,169.45231,1059.20545,209.1036,1056.37322,152.4589,1067.702156,219.01642,1054.9571,213.35196,1060.621574,244.50653,1045.04429,238.84207,1056.37322,272.82889,1033.71534,265.74829
9.jpg,411,715,527.0378952,837.8904953,518.00165,754.51378,515.992645,752.504776,520.01065,752.504776,509.96564,754.51378,526.03766,754.51378,499.92062,780.6308,538.091675,782.6398,499.92062,804.73883,546.12769,818.80185,520.01065,812.77484,534.07367,822.819855,503.93863,836.88287,528.04666,838.89188,491.88461,869.02692,558.18169,871.03589,469.7856,905.18893,572.24472,921.26096,938,86,1056.177246,231.8759155,1079.14911,181.810394,1081.50522,180.632355,1079.14911,178.27626,1085.03934,185.34453,1076.79303,179.454315,1082.68326,198.30301,1068.54672,182.988434,1072.08087,214.79562,1059.12238,174.74213,1059.12238,210.08345,1052.054115,168.85191,1068.54672,219.5078,1055.58825,212.43953,1061.47846,244.24672,1043.80781,237.17847,1057.94434,271.34174,1033.20542,263.09543
